	"Data Addendum B.-Data Status Indicators, Data APC Assignments, and Data Comment Indicators Used in the Development of the Geometric Mean Costs for HCPCS codes and APCs for CY 2015"																																																																
0247T	"	Opn tx rib fx 5-6 ribs"	T	0062	D15																																																													
0248T	"	Open tx rib fx 7/> ribs"	T	0062	D15																																																													
0249T	"	Ligation hemorrhoid w/us"	T	0150	NI11																																																													
0250T	Insert bronchial valve	T	0415	D13																																																													
0251T	Remov bronchial valve	N	0415	D13																																																													
0252T	Remov bronch valve addl	N	0076	D13																																																													
0253T	"	Insert aqueous drain device"	T	0673	NI11																																																													
0254T	"	Evasc rpr iliac art bifur"	C		NI11																																																													
0255T	"	Evasc rpr iliac art bifr s&i"	C		NI11																																																													
0256T	Evasc aortic hrt valve	C		D13																																																													
0257T	Opn tthrc aortic hrt valve	C		D13																																																													
0258T	Aortic hrt valv w/o card byp	C		D13																																																													
0259T	Aortic hrt valve w/card byp	C		D13																																																													
0260T	"	Hypthrm bdy neonate 28d/<"	N		D14																																																													
0261T	"	Hypthrm head neonate 28d/<"	N		D14																																																													
0262T	"	Impltj pulm vlv evasc appr"	C		NJ11																																																													
0263T	"	Im b1 mrw cel ther cmpl"	S	0112	NJ11																																																													
0264T	"	Im b1 mrw cel ther xcl hrvst"	S	0112	NJ11																																																													
0265T	"	Im b1 mrw cel ther hrvst onl"	S	0112	NJ11																																																													
0266T	"	Implt/rpl crtd sns dev total"	C		NJ11																																																													
0267T	"	Implt/rpl crtd sns dev lead"	T	0688	NJ11																																																													
0268T	"	Implt/rpl crtd sns dev gen"	J1	0039	NJ11																																																													
0269T	"	Rev/remvl crtd sns dev total"	N	0221	NJ11																																																													
0270T	"	Rev/remvl crtd sns dev lead"	N	0688	NJ11																																																													
0271T	"	Rev/remvl crtd sns dev gen"	N	0688	NJ11																																																													
0272T	"	Interrogate crtd sns dev"	S	0218	NJ11																																																													
0273T	"	Interrogate crtd sns w/pgrmg"	S	0218	NJ11																																																													
0274T	"	Perq lamot/lam crv/thrc"	T	0208	NJ11																																																													
0275T	"	Perq lamot/lam lumbar"	T	0208	NJ11																																																													
0276T	Bronch thermoplasty 1 lobe	T	0415	D13																																																													
0277T	Bronch thermoplasty lobes	T	0415	D13																																																													
0278T	"	Tempr"	N	0215	NI12																																																													
0279T	Ctc test	S	0661	D13																																																													
0280T	Ctc test w/i & r	N		D13																																																													
0281T	"	Laa closure w/implant"	C		NI12																																																													
0282T	"	Periph field stimul trial"	J1	0061	NI12																																																													
