zip5,lat,lon,city_label,geocoded_at,source
99801,58.37291,-134.178445,99801,2026-02-06T00:23:50.635862,zcta
99901,55.662896,-131.366292,99901,2026-02-06T00:23:50.635864,zcta
99835,56.960283,-135.037328,99835,2026-02-06T00:23:50.635865,zcta
99923,56.000439,-130.037307,99923,2026-02-06T00:23:50.635866,zcta
99833,56.84041,-133.187085,99833,2026-02-06T00:23:50.635868,zcta
99611,60.83481,-150.724223,99611,2026-02-06T00:23:50.635869,zcta
99615,57.682776,-153.37896,99615,2026-02-06T00:23:50.635870,zcta
97845,44.414445,-118.903752,97845,2026-02-06T00:23:50.635872,zcta
95696,38.3281111,-121.978759,95696,2026-02-06T00:23:56.290201,nominatim
99928,55.414551,-131.755579,99928,2026-02-06T00:23:57.509817,nominatim
99821,58.2864927,-134.4299034,99821,2026-02-06T00:23:58.526956,nominatim
99687,61.5607841,-149.4788595,99687,2026-02-06T00:23:59.692107,nominatim
96733,20.883244,-156.528088,96733,2026-02-06T00:24:17.367478,nominatim
98507,46.958822,-123.076235,98507,2026-02-06T00:27:10.011214,zcta
98508,46.958822,-123.076235,98508,2026-02-06T00:27:10.011230,zcta
98511,46.958822,-123.076235,98511,2026-02-06T00:27:10.011233,zcta
98540,46.958822,-123.076235,98540,2026-02-06T00:27:10.011235,zcta
98574,46.958822,-123.076235,98574,2026-02-06T00:27:13.746044,zcta
95854,38.575407,-121.444202,95854,2026-02-06T00:27:35.945724,zcta
97283,45.515307,-122.673946,97283,2026-02-06T00:27:35.945739,zcta
99706,64.009705,-144.681574,99706,2026-02-06T00:27:45.957983,zcta
89391,39.279172,-114.987342,89391,2026-02-06T00:27:45.978882,zcta
99803,58.024766,-135.30821,99803,2026-02-06T00:27:45.978885,zcta
98111,47.606211,-122.333792,98111,2026-02-06T00:27:45.978886,zcta
98599,46.958822,-123.076235,98599,2026-02-06T00:27:45.978889,zcta
99669,60.360075,-151.017857,99669,2026-02-06T00:27:45.978891,zcta
,33.862959,-116.556682,92262,2026-04-04T06:05:16.694561,zcta
98375,47.104262,-122.326892,98375,2026-04-04T06:05:16.694568,zcta
98403,47.2658,-122.459139,98403,2026-04-04T06:05:16.694570,zcta
89129,36.23325,-115.290253,89129,2026-04-04T06:54:53.000634,zcta
98109,47.630583,-122.345596,98109,2026-04-17T07:31:30.730451,zcta
98195,47.653833,-122.308348,98195,2026-04-17T07:31:30.730465,zcta
98122,47.609503,-122.295593,98122,2026-04-17T07:31:30.730467,zcta
98112,47.63752,-122.287651,98112,2026-04-17T07:31:30.730469,zcta
98101,47.610902,-122.336422,98101,2026-04-17T07:31:30.730471,zcta
98004,47.618337,-122.205341,98004,2026-04-17T07:31:30.730473,zcta
98105,47.659861,-122.284977,98105,2026-04-17T07:31:30.730474,zcta
98108,47.535065,-122.305931,98108,2026-04-17T07:31:30.730475,zcta
98133,47.740485,-122.342826,98133,2026-04-17T07:31:30.730477,zcta
85741,32.335292,-111.041758,85741,2026-04-17T07:31:30.730479,zcta
98383,47.66291,-122.718605,98383,2026-04-17T07:31:30.730480,zcta
98431,47.208981,-122.472399,98431,2026-04-17T07:31:30.805462,zcta
90095,34.071183,-118.443404,90095,2026-04-17T07:31:30.805474,zcta
98346,47.826022,-122.527151,98346,2026-04-17T07:31:30.805476,zcta
14642,43.122834,-77.625114,14642,2026-04-17T07:31:30.805478,zcta
28625,35.869581,-80.889653,28625,2026-04-17T07:31:30.805482,zcta
98686,45.723305,-122.62187,98686,2026-04-17T07:31:30.805483,zcta
98493,47.208981,-122.472399,98493,2026-04-17T07:31:30.805487,zcta
85712,32.252876,-110.886584,85712,2026-04-17T07:31:30.805489,zcta
95817,38.550605,-121.457026,95817,2026-04-17T07:31:30.805490,zcta
97213,45.538194,-122.600014,97213,2026-04-17T07:31:30.805492,zcta
99204,47.647242,-117.426704,99204,2026-04-17T08:56:33.225049,zcta
97031,45.610947,-121.601374,97031,2026-04-17T08:56:33.225062,zcta
97220,45.550787,-122.55956,97220,2026-04-17T08:56:33.225064,zcta
60099,42.459988,-87.865021,60099,2026-04-17T08:56:33.225066,zcta
98034,47.715809,-122.213748,98034,2026-04-17T08:56:33.225067,zcta
93111,34.449185,-119.804782,93111,2026-04-17T08:56:33.225069,zcta
90212,34.06216,-118.401882,90212,2026-04-17T08:56:33.225070,zcta
99503,62.043689,-158.174466,99503,2026-04-17T08:56:33.225071,zcta
98225,48.758248,-122.50652,98225,2026-04-17T08:56:33.225072,zcta
98225,48.758248,-122.50652,98225,2026-04-17T08:56:33.225073,zcta
48197,42.194034,-83.639984,48197,2026-04-17T08:56:33.225075,zcta
90012,34.065975,-118.238642,90012,2026-04-17T08:56:33.225079,zcta
97239,45.489938,-122.690453,97239,2026-04-17T08:56:33.225080,zcta
97209,45.531124,-122.683951,97209,2026-04-17T08:56:33.225081,zcta
33021,26.02313,-80.186539,33021,2026-04-17T08:56:33.225082,zcta
92663,33.625204,-117.928767,92663,2026-04-17T08:56:33.225083,zcta
97239,45.489938,-122.690453,97239,2026-04-17T08:56:33.225084,zcta
