addr_key,lat,lon,geocoded_at,source
120 S SPALDING DR STE 400|BEVERLY HILLS|CA|90212,34.06216,-118.401882,2026-04-17T09:12:27.536401,zip
9040 FITZSIMMONS DR|TACOMA|WA|98431,47.208981,-122.472399,2026-04-17T09:12:27.536403,zip
5130 CORPORATE CNT CT SE|LACEY|WA|98503,47.024362,-122.804474,2026-04-17T09:12:27.536405,street
844 N 5TH AVE|SEQUIM|WA|98382,48.065631,-123.017876,2026-04-17T09:12:27.536408,street
34515 9TH AVE S|FEDERAL WAY|WA|98003,47.31503,-122.312238,2026-04-17T09:12:27.536410,street
"3700 PACIFIC WAY E, STE 100|FIFE|WA|98424",47.229496,-122.347945,2026-04-17T09:12:27.536412,street
1220 BASICH BLVD|ABERDEEN|WA|98520,46.976395,-123.794822,2026-04-17T09:12:27.536414,street
2555 MARVIN RD. NE|LACEY|WA|98516,47.085763,-122.777385,2026-04-17T09:12:27.536416,street
825 EASTLAKE AVENUE E|SEATTLE|WA|98109,47.630583,-122.345596,2026-04-17T09:12:27.536419,zip
ST. ELIAS SPECIALTY HOSPITAL|ANCHORAGE|AK|99503,62.043689,-158.174466,2026-04-17T09:12:27.536421,zip
4500 3RD AVE STE 100|LACEY|WA|98503,47.024362,-122.804474,2026-04-17T09:12:27.536424,street
237 PROFESSIONAL WAY|SHELTON|WA|98584,47.177996,-123.056342,2026-04-17T09:12:27.536426,street
340 BIRCHWOOD AVE|BELLINGHAM|WA|98225,48.758248,-122.50652,2026-04-17T09:12:27.536428,zip
2940 SQUALICUM PARKWAY|BELLINGHAM|WA|98225,48.758248,-122.50652,2026-04-17T09:12:27.536430,zip
1100 9TH AVENUE|SEATTLE|WA|98101,47.610902,-122.336422,2026-04-17T09:12:27.536433,zip
11511 CANTERWOOD BLVD|GIG HARBOR|WA|98332,47.356307,-122.587923,2026-04-17T09:12:27.536435,street
5333 MCAULEY DR STE 4001|YPSILANTI|MI|48197,42.194034,-83.639984,2026-04-17T09:12:27.536437,zip
1717 13TH ST|EVERETT|WA|98201,47.988681,-122.20335,2026-04-17T09:12:27.536440,street
1620 COOPER POINT ROAD SW|OLYMPIA|WA|98502,47.070532,-122.951128,2026-04-17T09:12:27.536442,street
"3901 CAPITAL MALL DR SW, STE A|OLYMPIA|WA|98502",47.070532,-122.951128,2026-04-17T09:12:27.536445,street
711 W COLLEGE ST STE 208|LOS ANGELES|CA|90012,34.065975,-118.238642,2026-04-17T09:12:27.536447,zip
615 LILLY ROAD NE STE 220|OLYMPIA|WA|98506,47.073062,-122.867507,2026-04-17T09:12:27.536450,street
3181 SW SAM JACKSON PARK RD|PORTLAND|OR|97239,45.489938,-122.690453,2026-04-17T09:12:27.536452,zip
4300 TALBOT RD S|RENTON|WA|98055,47.447982,-122.200482,2026-04-17T09:12:27.536454,street
5423 RENO CORPORATE DRIVE|RENO|NV|98511,46.958822,-123.076235,2026-04-17T09:12:27.536457,zip
1708 S YAKIMA #203|TACOMA|WA|98405,47.247626,-122.4686,2026-04-17T09:12:27.536460,street
1849 NW KEARNEY|PORTLAND|OR|97209,45.531124,-122.683951,2026-04-17T09:12:27.536462,zip
3700 WASHINGTON ST STE 104|HOLLYWOOD|FL|33021,26.02313,-80.186539,2026-04-17T09:12:27.536464,zip
11511 NE 10TH STREET|BELLEVUE|WA|98004,47.618337,-122.205341,2026-04-17T09:12:27.536466,zip
3663 COLLEGE ST SUITE A|LACEY|WA|98503,47.024362,-122.804474,2026-04-17T09:12:27.536468,street
520 SUPERIOR SUITE 360|NEWPORT BEACH|CA|92663,33.625204,-117.928767,2026-04-17T09:12:27.536472,zip
1708 S YAKIMA AVE|TACOMA|WA|98405,47.247626,-122.4686,2026-04-17T09:12:27.536474,street
413 LILY RD NE MS LLH21|OLYMPIA|WA|98506,47.073062,-122.867507,2026-04-17T09:12:27.536476,street
3303 SW BOND AVE|PORTLAND|OR|97239,45.489938,-122.690453,2026-04-17T09:12:27.536479,zip
110 DELPHI RD NW STE 101|OLYMPIA|WA|98502,47.070532,-122.951128,2026-04-17T09:12:27.536481,street
815 K STREET|HOQUIAM|WA|98550,46.984787,-123.888536,2026-04-17T09:12:27.536483,street
1044 11TH AVE|LONGVIEW|WA|98632,46.157953,-122.941369,2026-04-17T09:12:27.536485,street
14200 W CELEBRATE LIFE WAY|GOODYEAR|AZ|85338,33.403412,-112.419396,2026-04-17T09:12:27.536488,street
145 LILLY RD NW|OLYMPIA|WA|98506,47.073062,-122.867507,2026-04-17T09:12:27.536490,street
1608 S J ST 3RD FLR|TACOMA|WA|98405,47.247626,-122.4686,2026-04-17T09:12:27.536492,street
1220 W 1ST ST|CENTRALIA|WA|98531,46.775062,-122.989221,2026-04-17T09:12:27.536494,street
"505 NE 87TH AVE, SUITE 301          NGVIEW 2ND).|VANCOUVER, WA 98664|WA|98664",45.61951,-122.577179,2026-04-17T09:12:27.536497,zip
800 ALDER ST|SOUTH BEND|WA|98586,46.654148,-123.83686,2026-04-17T09:12:27.536499,street
4245 ROOSEVELT WAY NE|SEATTLE|WA|98105,47.659861,-122.284977,2026-04-17T09:12:27.536503,zip
1905 EXCHANGE ST.|ASTORIA|OR|97103,46.13334,-123.698966,2026-04-17T09:12:27.536506,zip
145 LILLY RD NE|OLYMPIA|WA|98506,47.073062,-122.867507,2026-04-17T09:12:27.536508,street
914 S SCHUEBER RD|CENTRALIA|WA|98531,46.775062,-122.989221,2026-04-17T09:12:27.536510,street
